銘柄名,証券コード,上場区分,区分,購入時期,買値,売却入時期,売値,値幅,アップ率
(株)アサックス,8772,東証1部,その他金融業,2010年1月13日,750円買い,2010年4月30日,1140円売り,390円,52%(1.52倍)
東邦亜鉛(株),5707,東証1部,非鉄金属,2010年8月25日,289円買い,2010年12月29日,439円売り,150円,51.9%(1.52倍)
日本エンタープライズ(株),4829,東証1部,情報・通信業,2010年8月12日,52.6円買い,2010年12月17日,79.9円売り,27.3円,51.9%(1.52倍)
(株)エクセディ,7278,東証1部,輸送用機器,2010年1月27日,1844円買い,2010年12月3日,2801円売り,957円,51.9%(1.52倍)
アサヒホールディングス(株),5857,東証1部,非鉄金属,2010年3月1日,1355円買い,2010年6月22日,2058円売り,703円,51.88%(1.52倍)
(株)バイタルケーエスケー・ホールディングス,3151,東証1部,卸売業,2010年8月25日,473円買い,2010年12月29日,718円売り,245円,51.8%(1.52倍)
北越工業(株),6364,東証1部,機械,2010年3月1日,116円買い,2010年4月30日,176円売り,60円,51.72%(1.52倍)
日産東京販売ホールディングス(株),8291,東証1部,小売業,2010年10月27日,62円買い,2010年12月17日,94円売り,32円,51.61%(1.52倍)
三ツ星ベルト(株),5192,東証1部,ゴム製品,2010年11月2日,328円買い,2010年12月7日,497円売り,169円,51.52%(1.52倍)
日本精工(株),6471,東証1部,機械,2010年8月31日,501円買い,2010年12月14日,759円売り,258円,51.5%(1.51倍)
(株)三菱ケミカルホールディングス,4188,東証1部,化学,2010年2月1日,369円買い,2010年12月27日,559円売り,190円,51.49%(1.51倍)
フジ住宅(株),8860,東証1部,不動産業,2010年10月28日,292円買い,2010年12月29日,441円売り,149円,51.03%(1.51倍)
日鉄鉱業(株),1515,東証1部,鉱業,2010年8月31日,273円買い,2010年12月29日,411円売り,138円,50.55%(1.51倍)
東洋ゴム工業(株),5105,東証1部,ゴム製品,2010年2月1日,151円買い,2010年3月30日,227円売り,76円,50.33%(1.5倍)
日新電機(株),6641,東証1部,電気機器,2010年9月2日,336円買い,2010年12月29日,505円売り,169円,50.3%(1.5倍)
(株)東陽テクニカ,8151,東証1部,卸売業,2010年2月19日,703円買い,2010年4月30日,1056円売り,353円,50.21%(1.5倍)
(株)ＪＳＰ,7942,東証1部,化学,2010年6月10日,808円買い,2010年12月27日,1213円売り,405円,50.12%(1.5倍)
共英製鋼(株),5440,東証1部,鉄鋼,2010年11月1日,894円買い,2010年12月13日,1342円売り,448円,50.11%(1.5倍)
ＩＳＩＤ,4812,東証1部,情報・通信業,2010年2月25日,482円買い,2010年4月30日,723円売り,241円,50%(1.5倍)
(株)アプラスフィナンシャル,8589,東証1部,その他金融業,2010年9月30日,34円買い,2010年12月20日,51円売り,17円,50%(1.5倍)
長野計器(株),7715,東証1部,精密機器,2010年2月15日,510円買い,2010年12月27日,765円売り,255円,50%(1.5倍)
(株)コジマ,7513,東証1部,小売業,2010年10月15日,363円買い,2010年11月24日,544円売り,181円,49.86%(1.5倍)
川崎汽船(株),9107,東証1部,海運業,2010年1月4日,269円買い,2010年6月21日,403円売り,134円,49.81%(1.5倍)
デンヨー(株),6517,東証1部,電気機器,2010年11月4日,461円買い,2010年12月17日,690円売り,229円,49.67%(1.5倍)
(株)椿本チエイン,6371,東証1部,機械,2010年8月26日,298円買い,2010年12月20日,446円売り,148円,49.66%(1.5倍)
(株)駒井ハルテック,5915,東証1部,金属製品,2010年11月2日,135円買い,2010年12月15日,202円売り,67円,49.63%(1.5倍)
(株)エス・エム・エス,2175,東証1部,サービス業,2010年11月4日,251円買い,2010年12月14日,375.5円売り,124.5円,49.6%(1.5倍)
極東貿易(株),8093,東証1部,卸売業,2010年2月9日,115円買い,2010年4月27日,172円売り,57円,49.57%(1.5倍)
カルソニックカンセイ(株),7248,東証1部,輸送用機器,2010年2月26日,226円買い,2010年12月20日,338円売り,112円,49.56%(1.5倍)
日本電波工業(株),6779,東証1部,電気機器,2010年9月2日,1060円買い,2010年12月13日,1585円売り,525円,49.53%(1.5倍)
永大産業(株),7822,東証1部,その他製品,2010年1月6日,196円買い,2010年5月7日,293円売り,97円,49.49%(1.49倍)
(株)内田洋行,8057,東証1部,卸売業,2010年8月24日,225円買い,2010年9月29日,336円売り,111円,49.33%(1.49倍)
(株)ハイデイ日高,7611,東証1部,小売業,2010年3月2日,675.69円買い,2010年12月28日,1006.94円売り,331.25円,49.02%(1.49倍)
(株)小野測器,6858,東証1部,電気機器,2010年11月1日,194円買い,2010年12月17日,289円売り,95円,48.97%(1.49倍)
戸田工業(株),4100,東証1部,化学,2010年5月26日,568円買い,2010年12月30日,846円売り,278円,48.94%(1.49倍)
(株)サニックス,4651,東証1部,サービス業,2010年7月22日,131円買い,2010年12月30日,195円売り,64円,48.85%(1.49倍)
世紀東急工業(株),1898,東証1部,建設業,2010年11月4日,35円買い,2010年12月8日,52円売り,17円,48.57%(1.49倍)
住友大阪セメント(株),5232,東証1部,ガラス土石製品,2010年1月29日,132円買い,2010年12月22日,196円売り,64円,48.48%(1.48倍)
(株)アサツー　ディ・ケイ,9747,東証1部,サービス業,2010年2月9日,1720円買い,2010年4月26日,2553円売り,833円,48.43%(1.48倍)
(株)メガチップス,6875,東証1部,電気機器,2010年2月8日,1141円買い,2010年12月17日,1692円売り,551円,48.29%(1.48倍)
サクサホールディングス(株),6675,東証1部,電気機器,2010年11月4日,108円買い,2010年12月16日,160円売り,52円,48.15%(1.48倍)
(株)ゴールドクレスト,8871,東証1部,不動産業,2010年7月1日,1493円買い,2010年12月20日,2211円売り,718円,48.09%(1.48倍)
浜松ホトニクス(株),6965,東証1部,電気機器,2010年2月9日,2026円買い,2010年12月22日,3000円売り,974円,48.08%(1.48倍)
東和薬品(株),4553,東証1部,医薬品,2010年1月8日,4095円買い,2010年6月25日,6060円売り,1965円,47.99%(1.48倍)
(株)クレディセゾン,8253,東証1部,その他金融業,2010年7月2日,915円買い,2010年11月18日,1354円売り,439円,47.98%(1.48倍)
ＮＴＴ都市開発(株),8933,東証1部,不動産業,2010年1月4日,620円買い,2010年4月30日,916円売り,296円,47.74%(1.48倍)
(株)エコス,7520,東証1部,小売業,2010年11月1日,306円買い,2010年12月21日,452円売り,146円,47.71%(1.48倍)
グランディハウス(株),8999,東証1部,不動産業,2010年5月25日,121.67円買い,2010年12月29日,179.67円売り,58円,47.67%(1.48倍)
東光(株),6801,東証1部,電気機器,2010年8月25日,107円買い,2010年12月30日,158円売り,51円,47.66%(1.48倍)
イオンモール(株),8905,東証1部,不動産業,2010年3月4日,1405.45円買い,2010年12月22日,2074.55円売り,669.09円,47.61%(1.48倍)
(株)ノーリツ,5943,東証1部,金属製品,2010年1月29日,1132円買い,2010年6月3日,1670円売り,538円,47.53%(1.48倍)
福島工業(株),6420,東証1部,機械,2010年5月27日,325.5円買い,2010年12月20日,480円売り,154.5円,47.47%(1.47倍)
(株)岡三証券グループ,8609,東証1部,証券商品先物,2010年10月27日,236円買い,2010年12月15日,348円売り,112円,47.46%(1.47倍)
(株)プレサンスコーポレーション,3254,東証1部,不動産業,2010年1月4日,815.5円買い,2010年12月30日,1202円売り,386.5円,47.39%(1.47倍)
オプテックス(株),6914,東証1部,電気機器,2010年1月5日,840円買い,2010年12月21日,1238円売り,398円,47.38%(1.47倍)
(株)アルファ,3434,東証1部,金属製品,2010年1月6日,665円買い,2010年3月25日,980円売り,315円,47.37%(1.47倍)
イオン(株),8267,東証1部,小売業,2010年1月4日,756円買い,2010年4月23日,1114円売り,358円,47.35%(1.47倍)
(株)ＴＡＳＡＫＩ,7968,東証1部,その他製品,2010年11月1日,550円買い,2010年11月25日,810円売り,260円,47.27%(1.47倍)
